,composition,Atoms,Ind Charges,reduced_formula,mp-id,icsd_id,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Intrastate,Interstate
3004,K4Pb6I1,"[4, 6, 1]","[[1], [-1, 2], [-1]]",K4Pb6I,[],[],"[1.0, 0.26116666666666666, 0.906]",0.236617,0.57780236,FALSE,FALSE
3005,K4Pb6I7,"[4, 6, 7]","[[1], [-1, 2], [-1]]",K4Pb6I7,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
3006,K4Pb7I3,"[4, 7, 3]","[[1], [-1, 2], [-1]]",K4Pb7I3,[],[],"[1.0, 0.2884285714285714, 0.906]",0.261316286,0.638116308,FALSE,FALSE
3007,K4Pb7I6,"[4, 7, 6]","[[1], [-1, 2], [-1]]",K4Pb7I6,[],[],"[1.0, 0.3211428571428572, 0.906]",0.290955429,0.710493047,FALSE,FALSE
3008,K4Pb7I9,"[4, 7, 9]","[[1], [-1, 2], [-1]]",K4Pb7I9,[],[],"[1.0, 0.35385714285714287, 0.906]",0.320594571,0.782869785,FALSE,FALSE
3009,K4Pb8I5,"[4, 8, 5]","[[1], [-1, 2], [-1]]",K4Pb8I5,[],[],"[1.0, 0.308875, 0.906]",0.27984075,0.68335177,FALSE,FALSE
3010,K4Pb9I1,"[4, 9, 1]","[[1], [-1, 2], [-1]]",K4Pb9I,[],[],"[1.0, 0.2738888888888889, 0.906]",0.248143333,0.605948869,FALSE,FALSE
3011,K4Pb9I4,"[4, 9, 4]","[[1], [-1, 2], [-1]]",K4Pb9I4,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3012,K4Pb9I7,"[4, 9, 7]","[[1], [-1, 2], [-1]]",K4Pb9I7,[],[],"[1.0, 0.3247777777777778, 0.906]",0.294248667,0.718534907,FALSE,FALSE
3013,K4Pb10I3,"[4, 10, 3]","[[1], [-1, 2], [-1]]",K4Pb10I3,[],[],"[1.0, 0.2917, 0.906]",0.2642802,0.645353982,FALSE,FALSE
3014,K4Pb11I2,"[4, 11, 2]","[[1], [-1, 2], [-1]]",K4Pb11I2,[],[],"[1.0, 0.28545454545454546, 0.906]",0.258621818,0.631536605,FALSE,FALSE
3015,K4Pb11I5,"[4, 11, 5]","[[1], [-1, 2], [-1]]",K4Pb11I5,[],[],"[1.0, 0.30627272727272725, 0.906]",0.277483091,0.677594529,FALSE,FALSE
3016,K4Pb12I1,"[4, 12, 1]","[[1], [-1, 2], [-1]]",K4Pb12I,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
3017,K4Pb13I3,"[4, 13, 3]","[[1], [-1, 2], [-1]]",K4Pb13I3,[],[],"[1.0, 0.29346153846153844, 0.906]",0.265876154,0.649251191,FALSE,FALSE
3018,K4Pb15I1,"[4, 15, 1]","[[1], [-1, 2], [-1]]",K4Pb15I,[],[],"[1.0, 0.2840666666666667, 0.906]",0.2573644,0.628466077,FALSE,FALSE
3019,K5Pb1I4,"[5, 1, 4]","[[1], [-1], [-1]]",K5PbI4,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3020,K5Pb1I7,"[5, 1, 7]","[[1], [2], [-1]]",K5PbI7,[],[],"[1.0, 0.452, 0.906]",0.409512,1,FALSE,FALSE
3021,K5Pb2I3,"[5, 2, 3]","[[1], [-1], [-1]]",K5Pb2I3,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3022,K5Pb2I6,"[5, 2, 6]","[[1], [-1, 2], [-1]]",K5(PbI3)2,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
3023,K5Pb2I9,"[5, 2, 9]","[[1], [2], [-1]]",K5Pb2I9,[],[],"[1.0, 0.452, 0.906]",0.409512,1,FALSE,FALSE
3024,K5Pb3I2,"[5, 3, 2]","[[1], [-1], [-1]]",K5Pb3I2,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3025,K5Pb3I5,"[5, 3, 5]","[[1], [-1, 2], [-1]]",K5Pb3I5,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3026,K5Pb3I8,"[5, 3, 8]","[[1], [-1, 2], [-1]]",K5Pb3I8,[],[],"[1.0, 0.3756666666666667, 0.906]",0.340354,0.831120944,FALSE,FALSE
3027,K5Pb3I11,"[5, 3, 11]","[[1], [2], [-1]]",K5Pb3I11,[],[],"[1.0, 0.452, 0.906]",0.409512,1,FALSE,FALSE
3028,K5Pb4I1,"[5, 4, 1]","[[1], [-1], [-1]]",K5Pb4I,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3029,K5Pb4I4,"[5, 4, 4]","[[1], [-1, 2], [-1]]",K5(PbI)4,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
3030,K5Pb4I7,"[5, 4, 7]","[[1], [-1, 2], [-1]]",K5Pb4I7,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
3031,K5Pb4I10,"[5, 4, 10]","[[1], [-1, 2], [-1]]",K5(Pb2I5)2,[],[],"[1.0, 0.39475, 0.906]",0.3576435,0.873340708,FALSE,FALSE
3032,K5Pb5I3,"[5, 5, 3]","[[1], [-1, 2], [-1]]",K5Pb5I3,[],[],"[1.0, 0.2688, 0.906]",0.2435328,0.594690265,FALSE,FALSE
3033,K5Pb5I6,"[5, 5, 6]","[[1], [-1, 2], [-1]]",K5Pb5I6,[],[],"[1.0, 0.3146, 0.906]",0.2850276,0.696017699,FALSE,FALSE
3034,K5Pb5I9,"[5, 5, 9]","[[1], [-1, 2], [-1]]",K5Pb5I9,[],[],"[1.0, 0.3604, 0.906]",0.3265224,0.797345133,FALSE,FALSE
3035,K5Pb6I2,"[5, 6, 2]","[[1], [-1, 2], [-1]]",K5(Pb3I)2,[],[],"[1.0, 0.26116666666666666, 0.906]",0.236617,0.57780236,FALSE,FALSE
3036,K5Pb6I5,"[5, 6, 5]","[[1], [-1, 2], [-1]]",K5Pb6I5,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3037,K5Pb6I8,"[5, 6, 8]","[[1], [-1, 2], [-1]]",K5(Pb3I4)2,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
3038,K5Pb7I1,"[5, 7, 1]","[[1], [-1, 2], [-1]]",K5Pb7I,[],[],"[1.0, 0.2557142857142857, 0.906]",0.231677143,0.56573957,FALSE,FALSE
3039,K5Pb7I4,"[5, 7, 4]","[[1], [-1, 2], [-1]]",K5Pb7I4,[],[],"[1.0, 0.2884285714285714, 0.906]",0.261316286,0.638116308,FALSE,FALSE
3040,K5Pb7I7,"[5, 7, 7]","[[1], [-1, 2], [-1]]",K5(PbI)7,[],[],"[1.0, 0.3211428571428572, 0.906]",0.290955429,0.710493047,FALSE,FALSE
3041,K5Pb8I3,"[5, 8, 3]","[[1], [-1, 2], [-1]]",K5Pb8I3,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
