composition,Atoms,Ind Charges,ratio_1,ratio_2
Rb2Sb1Br5,"[2, 1, 5]","[[1], [3], [-1]]",2, 1
Rb3Sb1Br6,"[3, 1, 6]","[[1], [3], [-1]]",3, 1
Rb3Sb2Br9,"[3, 2, 9]","[[1], [3], [-1]]",3, 2
Rb4Sb3Br13,"[4, 3, 13]","[[1], [3], [-1]]",4, 3
Rb5Sb2Br11,"[5, 2, 11]","[[1], [3], [-1]]",5, 2
