composition,Atoms,Ind Charges,ratio_1,ratio_2
Cs1Bi1Br4,"[1, 1, 4]","[[1], [3], [-1]]",1, 1
Cs1Bi2Br7,"[1, 2, 7]","[[1], [3], [-1]]",1, 2
Cs2Bi1Br5,"[2, 1, 5]","[[1], [3], [-1]]",2, 1
Cs2Bi3Br11,"[2, 3, 11]","[[1], [3], [-1]]",2, 3
Cs3Bi1Br6,"[3, 1, 6]","[[1], [3], [-1]]",3, 1
Cs3Bi2Br9,"[3, 2, 9]","[[1], [3], [-1]]",3, 2
Cs4Bi3Br13,"[4, 3, 13]","[[1], [3], [-1]]",4, 3
Cs5Bi2Br11,"[5, 2, 11]","[[1], [3], [-1]]",5, 2
